Адрес$Категория охраны
Блохина ул., 12$Выявленный объект культурного наследия
Блохина ул., 31$Выявленный объект культурного наследия
Блохина ул., 31$Выявленный объект культурного наследия
Блохина ул., 31$Выявленный объект культурного наследия
Блохина ул., 31$Выявленный объект культурного наследия
Блохина ул., 31, лит. Б$Выявленный объект культурного наследия
Блохина ул., 33$Выявленный объект культурного наследия
Большой пр. П.С., 1$Выявленный объект культурного наследия
Большая Зеленина ул., 13$Выявленный объект культурного наследия
Чкаловский пр., 13$Выявленный объект культурного наследия
Колпинский пер., 2$Выявленный объект культурного наследия
Большая Зеленина ул., 21$Выявленный объект культурного наследия
Большая Зеленина ул., 28$Выявленный объект культурного наследия
Большая Зеленина ул., 29$Выявленный объект культурного наследия
Петрозаводская ул., 20$Выявленный объект культурного наследия
Большая Зеленина ул., 33$Выявленный объект культурного наследия
Барочная ул., 2$Выявленный объект культурного наследия
Большая Зеленина ул., 9$Выявленный объект культурного наследия
Большая Монетная ул., 10$Выявленный объект культурного наследия
Большая Монетная ул., 11, лит. А$Выявленный объект культурного наследия
Большая Монетная ул., 18$Выявленный объект культурного наследия
Большая Монетная ул., 22$Выявленный объект культурного наследия
Большая Монетная ул., 23$Выявленный объект культурного наследия
Большая Монетная ул., 27$Выявленный объект культурного наследия
Большая Монетная ул., 29$Выявленный объект культурного наследия
Большая Монетная ул., 3$Выявленный объект культурного наследия
Большая Посадская ул., 18$Выявленный объект культурного наследия
Певческий пер., 7$Выявленный объект культурного наследия
Большая Посадская ул., 1$Выявленный объект культурного наследия
Малая Посадская ул., 10$Выявленный объект культурного наследия
Большая Посадская ул., 24$Выявленный объект культурного наследия
Котовского ул., 2$Выявленный объект культурного наследия
Певческий пер., 9-11$Выявленный объект культурного наследия
Большая Пушкарская ул., 1$Выявленный объект культурного наследия
Съезжинская ул., 8$Выявленный объект культурного наследия
Большая Пушкарская ул., 26$Выявленный объект культурного наследия
Большая Пушкарская ул., 3$Выявленный объект культурного наследия
Большой пр. П. С., 16-18$Выявленный объект культурного наследия
Красного Курсанта ул., 1$Выявленный объект культурного наследия
Пионерская ул., 6$Выявленный объект культурного наследия
Большой пр. П.С., 100$Выявленный объект культурного наследия
Большой пр. П.С., 104$Выявленный объект культурного наследия
Большой пр. П.С., 106$Выявленный объект культурного наследия
наб. реки Карповки, 8$Выявленный объект культурного наследия
Большой пр. П.С., 13$Выявленный объект культурного наследия
Пионерская ул., 4$Выявленный объект культурного наследия
Большой пр. П.С., 14$Выявленный объект культурного наследия
Красного Курсанта ул., 2$Выявленный объект культурного наследия
Большой пр. П.С., 22-24$Выявленный объект культурного наследия
Большой пр. П.С., 33$Выявленный объект культурного наследия
Большой пр. П.С., 39$Выявленный объект культурного наследия
Большой пр. П.С., 42, лит. А$Выявленный объект культурного наследия
Большой пр. П.С., 44, лит. А$Выявленный объект культурного наследия
Большой пр. П.С., 45$Выявленный объект культурного наследия
Большая Пушкарская ул., 38$Выявленный объект культурного наследия
Большой пр. П.С., 49$Выявленный объект культурного наследия
Ленина ул., 18$Выявленный объект культурного наследия
Большой пр. П.С., 50$Выявленный объект культурного наследия
Шамшева ул., 5$Выявленный объект культурного наследия
Большой пр. П.С., 55, лит. А$Выявленный объект культурного наследия
Подковырова ул., 6$Выявленный объект культурного наследия
Большой пр. П.С., 57$Выявленный объект культурного наследия
Подковырова ул., 1$Выявленный объект культурного наследия
Большой пр. П.С., 5$Выявленный объект культурного наследия
Зверинская ул., 2$Выявленный объект культурного наследия
Большой пр. П.С., 65$Выявленный объект культурного наследия
Большой пр. П.С., 69$Выявленный объект культурного наследия
Большой пр. П.С., 70-72$Выявленный объект культурного наследия
Подковырова ул., 5$Выявленный объект культурного наследия
Подрезова ул., 2$Выявленный объект культурного наследия
Большой пр. П.С., 74, лит. А$Выявленный объект культурного наследия
Подрезова ул., 1$Выявленный объект культурного наследия
$Выявленный объект культурного наследия
Большой пр. П.С., 81$Выявленный объект культурного наследия
Петропавловская ул., 6$Выявленный объект культурного наследия
Большой пр. П.С., 83$Выявленный объект культурного наследия
Петропавловская ул., 8$Выявленный объект культурного наследия
наб. реки Карповки, 6$Выявленный объект культурного наследия
Большой пр. П.С., 9$Выявленный объект культурного наследия
Съезжинская ул., 1$Выявленный объект культурного наследия
Вакуленчука ул., 4$Выявленный объект культурного наследия
Введенская ул., 17$Выявленный объект культурного наследия
Введенская ул., 19$Выявленный объект культурного наследия
Лизы Чайкиной ул., 24$Выявленный объект культурного наследия
Введенская ул., 7$Выявленный объект культурного наследия
Введенская ул., 9$Выявленный объект культурного наследия
Всеволода Вишневского ул., 11$Выявленный объект культурного наследия
Гатчинская 24-26$Выявленный объект культурного наследия
Ораниенбаумская ул., 27$Выявленный объект культурного наследия
Чкаловский пр., 15$Выявленный объект культурного наследия
Чкаловский просп., 15з$Выявленный объект культурного наследия
Чкаловский просп., 15а$Выявленный объект культурного наследия
Гатчинская ул., 11$Выявленный объект культурного наследия
Графтио ул., 4$Выявленный объект культурного наследия
Графтио ул., 6$Выявленный объект культурного наследия
Дивенская ул., 9$Выявленный объект культурного наследия
Большая Посадская ул., 12$Выявленный объект культурного наследия
Большая Посадская ул., 12$Выявленный объект культурного наследия
Дивенская ул., 9$Выявленный объект культурного наследия
Динамо пр., 11$Выявленный объект культурного наследия
Динамо пр., 18$Выявленный объект культурного наследия
Динамо пр., 24$Выявленный объект культурного наследия
Динамо пр., 3, лит. Б$Выявленный объект культурного наследия
Динамо пр., 3, лит. Д$Выявленный объект культурного наследия
Добролюбова пр., 19, лит. А$Выявленный объект культурного наследия
Добролюбова пр., 21а$Выявленный объект культурного наследия
Добролюбова пр., 3$Выявленный объект культурного наследия
Ждановская наб., 9$Выявленный объект культурного наследия
Ждановская ул., 37-41$Выявленный объект культурного наследия
Красного Курсанта ул., 32-34$Выявленный объект культурного наследия
Новоладожская ул., 1-3$Выявленный объект культурного наследия
Ждановская ул., 37-41$Выявленный объект культурного наследия
Красного Курсанта ул., 32-34$Выявленный объект культурного наследия
Новоладожская ул., 1-3$Выявленный объект культурного наследия
Ждановская ул., 37-41$Выявленный объект культурного наследия
Красного Курсанта ул., 32-34$Выявленный объект культурного наследия
Новоладожская ул., 1-3$Выявленный объект культурного наследия
Ждановская ул., 37-41$Выявленный объект культурного наследия
Красного Курсанта ул., 32-34$Выявленный объект культурного наследия
Новоладожская ул., 1-3$Выявленный объект культурного наследия
Ждановская ул., 8$Выявленный объект культурного наследия
Зверинская ул., 31$Выявленный объект культурного наследия
Зверинская ул., 33$Выявленный объект культурного наследия
Зверинская ул., 42$Выявленный объект культурного наследия
Зверинская ул., 44$Выявленный объект культурного наследия
Мытнинский пер., 8$Выявленный объект культурного наследия
Зоологический пер., 1-3$Выявленный объект культурного наследия
Добролюбова пр., 8$Выявленный объект культурного наследия
Инструментальная ул., 3$Выявленный объект культурного наследия
Инструментальная ул., 3$Выявленный объект культурного наследия
Инструментальная ул., 3$Выявленный объект культурного наследия
Инструментальная ул., 3$Выявленный объект культурного наследия
Каменноостровский пр., 10$Выявленный объект культурного наследия
Каменноостровский пр., 10$Выявленный объект культурного наследия
Каменноостровский пр., 10$Выявленный объект культурного наследия
Каменноостровский пр., 12, лит. А$Выявленный объект культурного наследия
Каменноостровский пр., 13$Выявленный объект культурного наследия
Мира ул., 13$Выявленный объект культурного наследия
Дивенская ул., 2$Выявленный объект культурного наследия
Каменноостровский пр., 14$Выявленный объект культурного наследия
Каменноостровский пр., 16$Выявленный объект культурного наследия
Каменноостровский пр., 27, лит. А$Выявленный объект культурного наследия
Каменноостровский пр., 29$Выявленный объект культурного наследия
Каменноостровский пр., 31-33$Выявленный объект культурного наследия
Льва Толстого ул., 1-3$Выявленный объект культурного наследия
Каменноостровский пр., 32$Выявленный объект культурного наследия
Большая Пушкарская ул., 47$Выявленный объект культурного наследия
Каменноостровский пр., 36$Выявленный объект культурного наследия
Большой пр. П.С., 73$Выявленный объект культурного наследия
Каменноостровский пр., 36$Выявленный объект культурного наследия
Большой пр. П.С., 73, лит. А$Выявленный объект культурного наследия
Каменноостровский пр., 36$Выявленный объект культурного наследия
Большой пр. П.С., 73, лит. А$Выявленный объект культурного наследия
Каменноостровский пр., 36$Выявленный объект культурного наследия
Большой пр. П.С., 73, лит. А$Выявленный объект культурного наследия
Каменноостровский пр., 36$Выявленный объект культурного наследия
Большой пр. П.С., 73, лит. А$Выявленный объект культурного наследия
Каменноостровский пр., 36$Выявленный объект культурного наследия
Большой пр. П.С., 73, лит. Б$Выявленный объект культурного наследия
Каменноостровский пр., 38$Выявленный объект культурного наследия
Большой пр. П.С., 96$Выявленный объект культурного наследия
Каменноостровский пр., 39$Выявленный объект культурного наследия
Каменноостровский пр., 45$Выявленный объект культурного наследия
Каменноостровский пр., 52$Выявленный объект культурного наследия
Профессора Попова ул., 24$Выявленный объект культурного наследия
Каменноостровский пр., 53$Выявленный объект культурного наследия
Профессора Попова ул., 22$Выявленный объект культурного наследия
Каменноостровский пр., 55, Профессора Попова ул., 29$Выявленный объект культурного наследия
Каменноостровский пр., 57$Выявленный объект культурного наследия
Каменноостровский пр., 59$Выявленный объект культурного наследия
Чапыгина ул., 1$Выявленный объект культурного наследия
Каменноостровский пр., 67$Выявленный объект культурного наследия
Графтио ул., 2$Выявленный объект культурного наследия
Каменноостровский пр., 8$Выявленный объект культурного наследия
Каменноостровский пр., 9$Выявленный объект культурного наследия
Малая Посадская ул., 2$Выявленный объект культурного наследия
наб. реки Карповки, 15$Выявленный объект культурного наследия
Литераторов ул., 14$Выявленный объект культурного наследия
наб. реки Карповки, 19$Выявленный объект культурного наследия
Карповки р. наб., 30$Выявленный объект культурного наследия
Красного Курсанта ул., 21$Выявленный объект культурного наследия
Пионерская ул., 28$Выявленный объект культурного наследия
Красного Курсанта ул., 25$Выявленный объект культурного наследия
Красного Курсанта ул., 27$Выявленный объект культурного наследия
Корпусная ул., 1$Выявленный объект культурного наследия
Красного Курсанта ул., 27$Выявленный объект культурного наследия
Корпусная ул., 1$Выявленный объект культурного наследия
Красного Курсанта ул., 27$Выявленный объект культурного наследия
Корпусная ул., 1$Выявленный объект культурного наследия
Крестовский пр., 4, лит. Б$Выявленный объект культурного наследия
Кронверкская ул., 12$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 27$Выявленный объект культурного наследия
Кронверкский  пр., 67$Выявленный объект культурного наследия
Татарский пер., 2$Выявленный объект культурного наследия
Мытнинский пр., 13$Выявленный объект культурного наследия
Кронверкский пр., 45$Выявленный объект культурного наследия
Кронверкская ул., 2$Выявленный объект культурного наследия
